seed,eta,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21002,0.1,h_I,C5,h_I->C5,5,0.07190724105579599,0.1459385360008502,0.49272277923141805
21002,0.1,h_T,C3,h_T->C3,5,0.016589459736825213,0.0859510783029544,0.19301048996917555
21002,0.1,h_T,C7,h_T->C7,6,0.03643131272305807,0.08119180729074568,0.4487067591949248
21002,0.2,h_D,C1,h_D->C1,6,0.05995010272723027,0.09257896389848908,0.6475564232098856
21002,0.2,h_D,C2,h_D->C2,6,0.045557365331125144,0.10069968824017446,0.4524082062897338
21002,0.2,h_D,C3,h_D->C3,5,0.027604123868974886,0.09602371183535711,0.28747195188640096
21002,0.2,h_D,C4,h_D->C4,6,0.025553949848948515,0.1152385264602619,0.2217483217953036
21002,0.2,h_D,C6,h_D->C6,6,0.024948073071067455,0.053818801641882914,0.46355682976019275
21002,0.2,h_D,C7,h_D->C7,6,0.02478368356819831,0.08377141462001755,0.2958489322440102
21002,0.2,h_E,C6,h_E->C6,6,0.016742297305350238,0.053818801641882914,0.31108640092814605
21002,0.2,h_I,C2,h_I->C2,6,0.03102288222211756,0.10069968824017446,0.3080732697783349
21002,0.2,h_I,C4,h_I->C4,6,0.02545081980081513,0.1152385264602619,0.22085339497438444
21002,0.2,h_I,C5,h_I->C5,5,0.07481432128718868,0.14709144700150867,0.5086245516771122
21002,0.2,h_T,C3,h_T->C3,5,0.01889853811364988,0.09602371183535711,0.19681115999615414
21002,0.2,h_T,C7,h_T->C7,6,0.037832165125884734,0.08377141462001755,0.4516118690013497
21002,0.3,h_D,C1,h_D->C1,6,0.06254457671128243,0.09673351520415382,0.6465657386546637
21002,0.3,h_D,C2,h_D->C2,6,0.047382110104231934,0.10695387465453667,0.4430144326873071
21002,0.3,h_D,C3,h_D->C3,5,0.03065380685533009,0.10600996167813426,0.28915968244674517
21002,0.3,h_D,C4,h_D->C4,6,0.028445817911983504,0.11301953488100697,0.2516893910568743
21002,0.3,h_D,C6,h_D->C6,6,0.026844490933171747,0.05824547651874778,0.46088542041664443
21002,0.3,h_D,C7,h_D->C7,6,0.025777285870030996,0.08672143674539994,0.2972423755548663
21002,0.3,h_E,C6,h_E->C6,6,0.017933832265229155,0.05824547651874778,0.30790085920489974
21002,0.3,h_I,C2,h_I->C2,6,0.03211897510253495,0.10695387465453667,0.3003067930542921
21002,0.3,h_I,C4,h_I->C4,6,0.0282034769598807,0.11301953488100697,0.2495451515468126
21002,0.3,h_I,C5,h_I->C5,5,0.07781775871529538,0.14789815260928546,0.5261577466781935
21002,0.3,h_T,C3,h_T->C3,5,0.0207209438219483,0.10600996167813426,0.1954622329235948
21002,0.3,h_T,C7,h_T->C7,6,0.039455476222144,0.08672143674539994,0.4549679721926645
21002,0.4,h_D,C1,h_D->C1,6,0.06490409366876736,0.10109375488558561,0.6420188244227502
21002,0.4,h_D,C2,h_D->C2,6,0.049228513750730556,0.11484333406709056,0.4286579987441238
21002,0.4,h_D,C3,h_D->C3,5,0.033542428704990856,0.11320057429959918,0.29630970436528353
21002,0.4,h_D,C4,h_D->C4,6,0.0305681246710499,0.1117741530484152,0.2734811567530802
21002,0.4,h_D,C6,h_D->C6,6,0.0285090084021509,0.06342278223757855,0.44950737567626853
21002,0.4,h_D,C7,h_D->C7,6,0.026694139108381525,0.08944733088207067,0.2984341605819097
21002,0.4,h_E,C6,h_E->C6,6,0.019187599217756875,0.06342278223757855,0.302534807533018
21002,0.4,h_I,C2,h_I->C2,6,0.03317570539060189,0.11484333406709056,0.2888779367109982
21002,0.4,h_I,C4,h_I->C4,6,0.030808583591035638,0.1117741530484152,0.2756324494573911
21002,0.4,h_I,C5,h_I->C5,5,0.08057759222663544,0.1500373615515715,0.53705018132035
21002,0.4,h_T,C3,h_T->C3,5,0.022799477341973212,0.11320057429959918,0.201407788633918
21002,0.4,h_T,C7,h_T->C7,6,0.040925289820194596,0.08944733088207067,0.4575350590806769
21002,0.5,h_D,C1,h_D->C1,6,0.06740283109763312,0.10565597962275933,0.637946203685342
21002,0.5,h_D,C2,h_D->C2,6,0.050899842783500085,0.12464708713776708,0.40835164264074875
21002,0.5,h_D,C3,h_D->C3,5,0.03601174631421612,0.12236315777612161,0.29430219821402226
21002,0.5,h_D,C4,h_D->C4,6,0.03282941739014126,0.11107637564064166,0.29555715335956434
21002,0.5,h_D,C6,h_D->C6,6,0.03027445016621256,0.06864935916384084,0.44100120575805446
21002,0.5,h_D,C7,h_D->C7,6,0.02753676707149723,0.0927903759783462,0.2967631802421677
21002,0.5,h_E,C6,h_E->C6,6,0.020454135387963063,0.06864935916384084,0.29795085688780565
21002,0.5,h_I,C2,h_I->C2,6,0.03413943575767428,0.12464708713776708,0.2738887569804783
21002,0.5,h_I,C4,h_I->C4,6,0.03330569139439524,0.11107637564064166,0.29984495984859266
21002,0.5,h_I,C5,h_I->C5,5,0.08334100326269481,0.1520699309594743,0.5480439343683047
21002,0.5,h_T,C3,h_T->C3,5,0.024692390067913225,0.12236315777612161,0.20179595326306618
21002,0.5,h_T,C7,h_T->C7,6,0.0423027419530551,0.0927903759783462,0.4558957920643739
21002,0.6,h_D,C1,h_D->C1,6,0.06995306447215707,0.11096509672299576,0.630406015381141
21002,0.6,h_D,C2,h_D->C2,6,0.052579508701787604,0.13423957872097553,0.391684100936322
21002,0.6,h_D,C3,h_D->C3,5,0.03891361308121835,0.131835250236347,0.29516850016335533
21002,0.6,h_D,C4,h_D->C4,6,0.03505481720816504,0.1107704474428874,0.31646362380112836
21002,0.6,h_D,C6,h_D->C6,6,0.032141667378777404,0.07345810833662728,0.43755098118029745
21002,0.6,h_D,C7,h_D->C7,6,0.028481585682462045,0.09695534683242202,0.2937598246272685
21002,0.6,h_E,C6,h_E->C6,6,0.021589741383256672,0.07345810833662728,0.29390549078702327
21002,0.6,h_I,C2,h_I->C2,6,0.035100207146838626,0.13423957872097553,0.26147435414360837
21002,0.6,h_I,C4,h_I->C4,6,0.035704235936804454,0.1107704474428874,0.3223263673724079
21002,0.6,h_I,C5,h_I->C5,5,0.08588538661672301,0.1545530987149392,0.5557014859635783
21002,0.6,h_T,C3,h_T->C3,5,0.02649662465425525,0.131835250236347,0.20098285251139258
21002,0.6,h_T,C7,h_T->C7,6,0.043821428456062114,0.09695534683242202,0.4519753668805007
21002,0.7,h_D,C1,h_D->C1,6,0.07266818521018942,0.11563334555171474,0.6284362427018213
21002,0.7,h_D,C2,h_D->C2,6,0.05429162348042303,0.14482949842156173,0.3748657840547034
21002,0.7,h_D,C3,h_D->C3,5,0.04173218385615546,0.14276358107538445,0.29231673471280467
21002,0.7,h_D,C4,h_D->C4,6,0.037244691751782785,0.1124579843029978,0.33118761626655585
21002,0.7,h_D,C6,h_D->C6,6,0.033853493661117555,0.07853258878946207,0.4310757378881813
21002,0.7,h_D,C7,h_D->C7,6,0.029280457552794344,0.10181793585228617,0.28757661710001475
21002,0.7,h_E,C6,h_E->C6,6,0.022647691277099785,0.07853258878946207,0.28838589973810197
21002,0.7,h_I,C2,h_I->C2,6,0.03615295369626586,0.14482949842156173,0.2496242415394149
21002,0.7,h_I,C4,h_I->C4,6,0.0379433310116583,0.1124579843029978,0.3374000632012879
21002,0.7,h_I,C5,h_I->C5,5,0.08827685932786236,0.15658596114165196,0.5637597309725674
