seed,eta,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
21003,0.0,C6,0.0,0.0,0.0
21003,0.0,C7,0.0,0.0,0.0
21003,0.1,C1,0.005311020724037542,0.003926609442481246,0.015230384478223058
21003,0.1,C2,0.006351692385692467,0.004621070819148445,0.018632293413442025
21003,0.1,C3,0.004911071523787546,0.004221484902529396,0.010809254292091883
21003,0.1,C4,0.0050891288249406445,0.005177192372199782,0.013158733053027505
21003,0.1,C5,0.006392631745047587,0.005266391487185551,0.01992600472589595
21003,0.1,C6,0.0036041183641194437,0.002123814470367906,0.013050548234246617
21003,0.1,C7,0.0037202896579068574,0.0032853284127016547,0.014187263206147147
21003,0.2,C1,0.010622041448075083,0.007853218884962493,0.03046076895644617
21003,0.2,C2,0.012703384771384933,0.009242141638296883,0.037264586826884105
