seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
25001,5,h_E,C6,6,0.0172058870938327,0.2336485279339202,0.07364004064457522
25001,5,h_I,C2,6,0.019704055765150115,0.17060115934999232,0.11549778348549306
25001,5,h_I,C4,6,0.025685985928261136,0.22982871288889278,0.1117614313945569
25001,5,h_I,C5,5,0.06081753737337707,0.4781151805713823,0.12720269057388553
25001,5,h_T,C3,5,0.024451982896743586,0.3137857043313413,0.07792573899609456
25001,5,h_T,C7,6,0.036705767062230846,0.49552886912468486,0.07407392252760842
25002,0,h_D,C1,6,0.05841463371514871,0.6490408222396222,0.09000147866343808
25002,0,h_D,C2,6,0.03704616489531062,0.4067809598656304,0.09107153124163206
25002,0,h_D,C3,5,0.033713902006667004,0.38506408247816354,0.08755400345134451
25002,0,h_D,C4,6,0.02732018765815166,0.21952965585289808,0.12444873359724473
25002,0,h_D,C6,6,0.025530719201094954,0.45534527013233894,0.056068923683383176
25002,0,h_D,C7,6,0.01390518579240083,0.23387628177596942,0.05945530554264053
25002,0,h_E,C6,6,0.016447737706743085,0.2933485543494436,0.056068923683383176
25002,0,h_I,C2,6,0.023908118015273885,0.26252021558282645,0.09107153124163206
25002,0,h_I,C4,6,0.026887857987759167,0.21605569787926232,0.12444873359724473
25002,0,h_I,C5,5,0.058452452315498754,0.46513499374180806,0.12566771604262483
25002,0,h_T,C3,5,0.021757826658123834,0.24850750165829458,0.08755400345134451
25002,0,h_T,C7,6,0.0204353037423768,0.34370866578723025,0.05945530554264053
25002,1,h_D,C1,6,0.05853392590518999,0.6711528999401086,0.08721399536490448
25002,1,h_D,C2,6,0.03705672731881215,0.43405106570823343,0.08537411895974334
25002,1,h_D,C3,5,0.033896302198055256,0.34889459729721967,0.09715341670605021
25002,1,h_D,C4,6,0.027399756816909628,0.23543314301820958,0.11638020231737278
25002,1,h_D,C6,6,0.025466686037997045,0.41552881549242116,0.061287412781234674
25002,1,h_D,C7,6,0.014119974981932721,0.25590782761724923,0.055176018307636444
25002,1,h_E,C6,6,0.016436727893309237,0.26819092448415016,0.061287412781234674
25002,1,h_I,C2,6,0.023899901565721374,0.2799431707952501,0.08537411895974334
25002,1,h_I,C4,6,0.02706809734331628,0.23258335012400194,0.11638020231737278
25002,1,h_I,C5,5,0.05801748499891079,0.4876207247637272,0.11898076117772698
25002,1,h_T,C3,5,0.021696158715902455,0.2233185352742001,0.09715341670605021
25002,1,h_T,C7,6,0.020581982467116667,0.3730240618666582,0.055176018307636444
25002,2,h_D,C1,6,0.05862320088562141,0.6393420464918443,0.09169301660457879
25002,2,h_D,C2,6,0.036730367978745224,0.390533825556393,0.09405169430848911
25002,2,h_D,C3,5,0.033759509325063365,0.35081229924113655,0.09623239948468112
25002,2,h_D,C4,6,0.02752551850589162,0.2500843031643668,0.11006495872534033
25002,2,h_D,C6,6,0.025612927635654585,0.45110549505950037,0.056778132644616
25002,2,h_D,C7,6,0.014065203731994071,0.22096763487988524,0.06365277765415166
25002,2,h_E,C6,6,0.016587381498521275,0.29214383646697883,0.056778132644616
25002,2,h_I,C2,6,0.023795320940348315,0.2530025760306536,0.09405169430848911
25002,2,h_I,C4,6,0.027254116771815218,0.24761847083028854,0.11006495872534033
25002,2,h_I,C5,5,0.058239751970647714,0.46150442362167293,0.12619543603319686
25002,2,h_T,C3,5,0.02162291511549766,0.224694751778636,0.09623239948468112
25002,2,h_T,C7,6,0.020619911922571548,0.3239436310899576,0.06365277765415166
25002,3,h_D,C1,6,0.05882448748761527,0.6594416356672567,0.08920347807192097
25002,3,h_D,C2,6,0.036358542425339126,0.35059515138574093,0.10370520607966191
25002,3,h_D,C3,5,0.03349985916762975,0.3401855398690143,0.09847525906065382
25002,3,h_D,C4,6,0.027366840599757802,0.2277009847212844,0.12018762515686204
25002,3,h_D,C6,6,0.025453613353066992,0.4806208520798787,0.05295986065198022
25002,3,h_D,C7,6,0.01391104755544455,0.23590218714235825,0.05896955735647269
25002,3,h_E,C6,6,0.016549144481789776,0.3124846681570433,0.05295986065198022
25002,3,h_I,C2,6,0.02383178162315059,0.22980313644634415,0.10370520607966191
25002,3,h_I,C4,6,0.026979278470941743,0.2244763421816967,0.12018762515686204
25002,3,h_I,C5,5,0.058033799387515565,0.4831106935390692,0.1201252635537848
25002,3,h_T,C3,5,0.02160693407047673,0.2194148487281355,0.09847525906065382
25002,3,h_T,C7,6,0.02024619159942123,0.34333294171921763,0.05896955735647269
25002,4,h_D,C1,6,0.059269087298792336,0.6275760394625888,0.0944412845157673
25002,4,h_D,C2,6,0.03661582486483532,0.3659597016783015,0.1000542537786214
25002,4,h_D,C3,5,0.033941155565270185,0.3201268768031665,0.10602407365445654
25002,4,h_D,C4,6,0.027300323592296553,0.23963100978896693,0.1139265056559215
25002,4,h_D,C6,6,0.025528442140028078,0.4209601942442052,0.060643363644966614
25002,4,h_D,C7,6,0.013978654778642352,0.23584386238762897,0.0592708016095472
25002,4,h_E,C6,6,0.016480140594996556,0.2717550545383155,0.060643363644966614
25002,4,h_I,C2,6,0.023835709802069713,0.2382278504077401,0.1000542537786214
25002,4,h_I,C4,6,0.026862387239523812,0.23578698464093384,0.1139265056559215
25002,4,h_I,C5,5,0.05819138417392608,0.5128063409323214,0.11347633507732541
25002,4,h_T,C3,5,0.021825037556057945,0.20584983017142083,0.10602407365445654
25002,4,h_T,C7,6,0.020266270989851936,0.3419267234314841,0.0592708016095472
25002,5,h_D,C1,6,0.05898850106039903,0.6379945442527979,0.09245925626032866
25002,5,h_D,C2,6,0.03654842953582991,0.38876185312154315,0.09401238635420997
25002,5,h_D,C3,5,0.03372653703331161,0.35514919332908645,0.09496441964801242
25002,5,h_D,C4,6,0.026962912048690106,0.2158623235542778,0.1249079116935129
25002,5,h_D,C6,6,0.025610193834905457,0.4323403897685863,0.059236181584101315
25002,5,h_D,C7,6,0.01380253205647887,0.2546704661224189,0.0541976157124925
25002,5,h_E,C6,6,0.01646483119024487,0.27795227088685265,0.059236181584101315
25002,5,h_I,C2,6,0.023958586147121073,0.25484499517539727,0.09401238635420997
25002,5,h_I,C4,6,0.026953806554292956,0.21578942589492522,0.1249079116935129
25002,5,h_I,C5,5,0.05849247624187996,0.5130360472513414,0.11401241015080346
25002,5,h_T,C3,5,0.02177381075656966,0.22928388165847222,0.09496441964801242
25002,5,h_T,C7,6,0.02028272043711607,0.37423639712008006,0.0541976157124925
25003,0,h_D,C1,6,0.05121645173495616,0.5911257388808927,0.0866422291665509
25003,0,h_D,C2,6,0.04182218579914912,0.33676579383724675,0.12418774876828587
25003,0,h_D,C3,5,0.03480363280785986,0.4847627653789705,0.07179518579601889
