seed,tau,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
27003,0.7,C2,6,0.004643991300268935,0.12037757795598684,0.2623400186773199,0.08573125062453665,True,True,True
27003,0.7,C3,5,0.0019331485577536167,0.07329802891290954,0.12600063285472735,0.05663270214707006,True,True,True
27003,0.7,C4,6,0.0028572425525486,0.08407509060361135,0.195325173184841,0.06391132317611155,True,True,True
27003,0.7,C5,5,0.0002598906278864499,0.03539706043206976,0.09343232862798984,0.025147555521439408,True,True,True
27003,0.7,C6,6,0.0022423524825523344,0.0414152799997805,0.17513215108388144,0.06429340413996891,True,True,True
27003,0.7,C7,6,0.004714476501182174,0.16424253658911667,0.43010853244081426,0.07971913802324339,True,True,True
27003,0.8,C1,6,0.006386786227619234,0.1172208629705127,0.45755632074737584,0.10871045163327551,True,True,True
27003,0.8,C2,6,0.004995704551884694,0.12186412363139898,0.27003233679672994,0.08864045125140889,True,True,True
27003,0.8,C3,5,0.002079521300957232,0.0771432689479509,0.13025172045827546,0.05853388385421892,True,True,True
27003,0.8,C4,6,0.0030526074177287255,0.0874900221735932,0.20010564894261584,0.06517073788834801,True,True,True
27003,0.8,C5,5,0.00028078021722310886,0.037218850382310514,0.09711118686741572,0.026238656859822396,True,True,True
27003,0.8,C6,6,0.0024411335886959096,0.04329797209655714,0.18193064554639485,0.06728015706428422,True,True,True
27003,0.8,C7,6,0.0049986694485968375,0.16770228592005,0.44184488085358364,0.0812784901225095,True,True,True
27003,0.9,C1,6,0.006832711344564091,0.12234571452354387,0.46868546312982945,0.1113796688678016,True,True,True
27003,0.9,C2,6,0.005359263074322551,0.12344883841156475,0.2776342739404475,0.0915175184028121,True,True,True
27003,0.9,C3,5,0.0022306929337170267,0.08094554316039093,0.1344552518900999,0.06040760480838537,True,True,True
27003,0.9,C4,6,0.0032558146110244213,0.09087076189122681,0.20491183578763092,0.06644479957215298,True,True,True
27003,0.9,C5,5,0.0003025441480366542,0.03902385317225208,0.10075495516277846,0.027336230005662907,True,True,True
27003,0.9,C6,6,0.00264746735112098,0.0451700557957307,0.1885871788436594,0.07021715205674886,True,True,True
27003,0.9,C7,6,0.005288283467989818,0.17120059983079883,0.45388472745315,0.08282128234146086,True,True,True
27003,1.0,C1,6,0.007292676305461598,0.12736316431304345,0.48001756000521517,0.11401055924375782,True,True,True
27003,1.0,C2,6,0.005734402468885236,0.1251334744791423,0.28515253661046575,0.0943599362986856,True,True,True
27003,1.0,C3,5,0.0023865887641264516,0.08470523935293175,0.13861262254737955,0.06225395110384866,True,True,True
27003,1.0,C4,6,0.0034669410010582657,0.09421792359423509,0.20974611804299728,0.06773256182607211,True,True,True
27003,1.0,C5,5,0.00032518316731744434,0.040812120678889965,0.104364269094925,0.028439140302080956,True,True,True
27003,1.0,C6,6,0.0028611927010759874,0.047031552849822834,0.195107250759981,0.07310436762629739,True,True,True
27003,1.0,C7,6,0.005582983474214709,0.17473872759553552,0.4662668203579275,0.08434625272412119,True,True,True
27004,0.0,C1,6,0.0030208935824771466,0.09430357666730377,0.40465008211034936,0.07400104251434098,True,True,True
27004,0.0,C2,6,0.0008959348473218665,0.056239313715412326,0.11943889826295347,0.03815901252489758,True,True,True
27004,0.0,C3,5,0.002533491392095355,0.08829626243527464,0.33828290574886405,0.06226796335327572,True,True,True
27004,0.0,C4,6,0.00028139639933222327,0.03621678512857041,0.09248660246345736,0.02176810714618442,True,True,True
27004,0.0,C5,5,0.0011760079717781924,0.09248728697061398,0.19560754331365104,0.050580218484335034,True,True,True
27004,0.0,C6,6,0.003453689845922314,0.03981795568577065,0.3459879093094993,0.07720976389207017,True,True,True
27004,0.0,C7,6,0.0007604782892925988,0.03718079435247795,0.1102055670547873,0.03586739457473754,True,True,True
27004,0.1,C1,6,0.0032922040549383524,0.10206885263644214,0.41664177847628897,0.07620912640006079,True,True,True
27004,0.1,C2,6,0.0009966025851276816,0.060940388710588586,0.12592563087533576,0.04035865219453208,True,True,True
27004,0.1,C3,5,0.002735896928862558,0.09183104766000677,0.3476578006343073,0.06360638071845275,True,True,True
27004,0.1,C4,6,0.0003113484282470935,0.03838597950198041,0.09646805698286498,0.022909340146308386,True,True,True
27004,0.1,C5,5,0.0013105478144272986,0.10026553290234667,0.20398717901552632,0.053836134529510866,True,True,True
27004,0.1,C6,6,0.003703424747038553,0.04181630273056591,0.3545308871489668,0.0780455493285458,True,True,True
27004,0.1,C7,6,0.0008242694877884649,0.040540612734788026,0.1143923455806494,0.0367434979667116,True,True,True
27004,0.2,C1,6,0.003573054238011686,0.10966063246490544,0.42862608471061203,0.07839846669588248,True,True,True
27004,0.2,C2,6,0.0011026607568285218,0.06554751110451869,0.13229526694152288,0.04255168977944337,True,True,True
27004,0.2,C3,5,0.002946106955139971,0.09533056335399512,0.3572315226881628,0.06497546723907606,True,True,True
