tau,criterion,median_LRV50,T_sci_LRV,pass_sci_LRV,median_NSV_vector,T_sci_NSV_vector,pass_sci_NSV,all_seed_num_NS,all_seed_num_LRV,all_seed_num_NSV
0.3,C2,0.06411087546226374,0.05135703082499147,True,0.04001262136302318,0.030180789560001246,True,True,True,True
0.3,C3,0.08759246044600372,0.06320131683925327,True,0.05265276174494639,0.032871176397166704,True,True,True,True
0.3,C4,0.07478006142722142,0.0584394716346404,True,0.05904142472371909,0.033274732045588784,True,True,True,True
0.3,C5,0.08845819104322739,0.06114512257795974,True,0.06029741471073157,0.03893229936662514,True,True,True,True
0.3,C6,0.09136128281697693,0.10669498984969662,False,0.07187881466257738,0.06203584559273667,True,True,True,True
0.3,C7,0.047168870103177746,0.06752862595487336,False,0.0497948608228383,0.0421069255807601,True,True,True,True
0.4,C1,0.10053782450291107,0.0823367060180439,True,0.08157176811136956,0.04150944500477258,True,True,True,True
0.4,C2,0.06460292741560016,0.05135703082499147,True,0.0410416192181085,0.030180789560001246,True,True,True,True
0.4,C3,0.08998128500734831,0.06320131683925327,True,0.0544768561264058,0.032871176397166704,True,True,True,True
0.4,C4,0.07563997311357605,0.0584394716346404,True,0.06023142431367508,0.033274732045588784,True,True,True,True
0.4,C5,0.08993285484363178,0.06114512257795974,True,0.06348463932786973,0.03893229936662514,True,True,True,True
0.4,C6,0.0944017038341212,0.10669498984969662,False,0.07481438088560201,0.06203584559273667,True,True,True,True
0.4,C7,0.05043216992822209,0.06752862595487336,False,0.05097474888000378,0.0421069255807601,True,True,True,True
0.5,C1,0.102555953383942,0.0823367060180439,True,0.08479502177598897,0.04150944500477258,True,True,True,True
0.5,C2,0.06514166419010917,0.05135703082499147,True,0.04209648418470307,0.030180789560001246,True,True,True,True
0.5,C3,0.09237707147309876,0.06320131683925327,True,0.056326687650677436,0.032871176397166704,True,True,True,True
0.5,C4,0.07714024315874825,0.0584394716346404,True,0.06144054905601934,0.033274732045588784,True,True,True,True
