seed,tau,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
27001,0.4,h_D,C7,h_D->C7,6,0.03196105721184116,0.10256220859189935,0.31162606237063717
27001,0.4,h_E,C6,h_E->C6,6,0.024500720807521748,0.07659784471715969,0.31986175195492356
27001,0.4,h_I,C2,h_I->C2,6,0.04041715151854007,0.1456797878654426,0.27743829195848363
27001,0.4,h_I,C4,h_I->C4,6,0.04439337117657926,0.12587609765077604,0.35267514647132764
27001,0.4,h_I,C5,h_I->C5,5,0.09665634726302982,0.14286681894629458,0.6765486064240542
27001,0.4,h_T,C3,h_T->C3,5,0.033788518748607055,0.1049002351465854,0.3221014586008275
27001,0.4,h_T,C7,h_T->C7,6,0.048936248212186007,0.10256220859189935,0.47713723098952443
27001,0.5,h_D,C1,h_D->C1,6,0.0802299701876201,0.12350780303078648,0.6495943431766151
27001,0.5,h_D,C2,h_D->C2,6,0.06133391173374102,0.14545068380983125,0.4216818383164842
27001,0.5,h_D,C3,h_D->C3,5,0.04934804006554096,0.1048783714061661,0.47052637644380046
27001,0.5,h_D,C4,h_D->C4,6,0.0440817373031499,0.12609299239981336,0.3495970431332673
27001,0.5,h_D,C6,h_D->C6,6,0.03978462931759856,0.07691288373266121,0.5172687251640087
27001,0.5,h_D,C7,h_D->C7,6,0.031940829457322406,0.1018385344199131,0.31364188063927184
27001,0.5,h_E,C6,h_E->C6,6,0.02438456370399083,0.07691288373266121,0.3170413397634554
27001,0.5,h_I,C2,h_I->C2,6,0.04033658627686679,0.14545068380983125,0.27732139320381144
27001,0.5,h_I,C4,h_I->C4,6,0.04424042436270095,0.12609299239981336,0.35085553542954523
27001,0.5,h_I,C5,h_I->C5,5,0.09633720177852084,0.14206320241262743,0.6781291716768992
27001,0.5,h_T,C3,h_T->C3,5,0.03388089295976365,0.1048783714061661,0.3230493809655844
27001,0.5,h_T,C7,h_T->C7,6,0.04891595971462299,0.1018385344199131,0.480328590673216
27001,0.6,h_D,C1,h_D->C1,6,0.08009896240581292,0.12348061343496039,0.6486764211562157
27001,0.6,h_D,C2,h_D->C2,6,0.06117935045610856,0.14553085870754384,0.4203874765738384
27001,0.6,h_D,C3,h_D->C3,5,0.049218209993305034,0.10426888232761233,0.4720316252953553
27001,0.6,h_D,C4,h_D->C4,6,0.04386639073616874,0.12649442911989553,0.346785159164946
27001,0.6,h_D,C6,h_D->C6,6,0.039687628445924675,0.0771523258317725,0.5144061182542639
27001,0.6,h_D,C7,h_D->C7,6,0.031943599009562174,0.10166518622423848,0.3142039098693171
27001,0.6,h_E,C6,h_E->C6,6,0.024380688816483587,0.0771523258317725,0.3160071786990411
