candidate_id,params,mean_cv_rmse,fold_sd_rmse_ddof0,fold1_rmse,fold2_rmse,fold3_rmse,fold4_rmse,fold5_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,selected
48,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018429647890984578,0.0003812180795091158,0.01869344919316699,0.017753434322564536,0.018872226561944355,0.018456093700164464,0.018373035677082553,200,2,0.05,0.8,0.8,5,0.1,1.0,False
49,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018349162637767508,0.00035075442140955617,0.01858524345501194,0.01777248927487441,0.018813711194773278,0.018328227857830896,0.018246141406347026,400,2,0.03,1.0,0.8,5,0.1,5.0,False
50,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.017907141434396874,0.00034206583707284025,0.018071512985272705,0.017417248293809848,0.018417137630706414,0.017957943160806646,0.017671865101388736,600,3,0.03,0.8,1.0,1,0.0,5.0,False
51,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.01828917205143098,0.0004730561108722813,0.01830793495052201,0.017829290492753905,0.019170724869298904,0.018197292089276652,0.017940617855303424,200,5,0.1,0.8,1.0,1,0.0,5.0,False
52,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.01808316425788763,0.00034599105597493045,0.01840543068742279,0.017461144963964455,0.018387090585949208,0.018168842777337168,0.01799331227476453,200,2,0.1,1.0,0.8,1,0.1,1.0,False
53,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018056168969629565,0.0004792939751848258,0.01803477970991751,0.017503122997122974,0.018924867277107064,0.018057973822719304,0.01776010104128098,400,5,0.05,0.8,0.8,5,0.1,1.0,False
54,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018211769634509066,0.00034770651605282827,0.01836494643759284,0.017663201389833447,0.01872311141033085,0.018230983206060855,0.018076605728727338,200,3,0.05,1.0,0.8,1,0.1,1.0,False
55,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.01802320350786928,0.000307792090759021,0.018122169779669912,0.017630436154427578,0.018476162040582247,0.018157847049280536,0.01772940251538613,200,3,0.1,0.8,1.0,1,0.1,5.0,False
56,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.018026637210959845,0.00039814472359097524,0.018074299995465816,0.01745797055966417,0.01867006644464297,0.01811616841512789,0.017814680639898377,600,3,0.1,0.8,0.8,5,0.1,5.0,False
57,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.019225945676980216,0.00038401764854235654,0.01933754614372199,0.018534028898773085,0.01971812515494925,0.019266884351308026,0.019273143836148726,200,2,0.03,0.8,1.0,1,0.1,1.0,False
58,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018002271681484945,0.0004347029342671713,0.018120252756869945,0.017452034958914384,0.01875362236373115,0.017922456691433174,0.017762991636476076,400,5,0.03,1.0,0.8,1,0.0,5.0,False
59,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.019232296190559738,0.00041521808714076083,0.019336499252926808,0.018477864211517155,0.019753334119584565,0.01932989722261593,0.01926388614615424,200,2,0.03,0.8,1.0,1,0.0,5.0,False
60,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.017992706878959354,0.00036492064079707244,0.018279804047410524,0.017388006586724257,0.018446147093026704,0.01796296069001334,0.01788661597762195,400,2,0.05,1.0,0.8,1,0.0,5.0,False
