seed,p,criterion,min_active_g,max_active_g,min_headroom,max_headroom,min_shape,max_shape,min_shape_derivative,min_total_derivative_margin_vs_theta,max_class_ceiling_excess,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,shape_bounds_ok,monotonicity_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
23001,4,C7,0.0006045005564386061,0.39780915915290227,0.03134692122486615,0.12998841722820823,4.139028081577443e-10,0.9999999979620746,3.67057219975063e-07,1.9091363379075688e-08,-0.001169101239026138,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,5,C1,8.065852651403165e-05,0.3995184603709341,0.04565266846387667,0.18217195427017904,6.412255646141883e-17,0.9999999999999959,5.553652057675039e-13,2.5340840537069198e-14,-0.0001991858711925254,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,5,C2,0.00042633652756587573,0.3976345907266313,0.0021091653839082625,0.19076174926223538,4.448335869768769e-14,0.9999999999609902,1.0411853797937975e-10,1.5026035971033025e-11,-0.0010026877769145903,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23001,5,C3,0.00020291748702678725,0.3960969176839446,0.00438935212190994,0.1480740952178412,9.113328219645104e-13,0.9999999999115416,1.1660350732465052e-09,1.7265958801582215e-10,-0.0008276991170017012,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,5,C4,0.00014496178180976676,0.39662758798938974,0.06197270854704928,0.13832938404885242,7.175896433986951e-14,0.9999999999461333,1.5264090562044479e-10,2.111472108268231e-11,-0.0008672573567611308,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,5,C5,3.6375305448551546e-05,0.3997632537376861,0.007694173528173531,0.14105929532498002,8.95275345986061e-17,0.9999999999999999,6.631373601954811e-13,5.10702591327572e-15,-0.00010815946851461256,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,5,C6,0.00016703831195723248,0.19931716909825256,0.0033246798993044613,0.14557016463178535,1.3765441967978028e-14,0.9999999998992639,4.073822779060098e-11,4.1199127442936856e-12,-0.0006828309017474499,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,5,C7,0.0006045005292527926,0.39780915930254945,0.03134692122486615,0.12998841722820823,1.8669082124308056e-12,0.9999999999863074,2.0695140407887213e-09,1.0763948066205842e-10,-0.0011691011864007894,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,1,C1,0.0001034120204191695,0.3999309375661858,0.012325865606954589,0.18035383801966232,0.0005170601020958454,0.9998273439154644,1.0,0.012325865606954589,-3.45312169071077e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23002,1,C2,0.0018201985431018216,0.3973917688454508,0.042447766672253695,0.12446462385804208,0.009100992715509107,0.9934794221136269,1.0,0.042447766672253695,-0.0013041155772746116,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,1,C3,0.0008949509406422592,0.39862561442821537,0.016255673934086667,0.1436773043623708,0.004474754703211296,0.9965640360705383,1.0,0.016255673934086667,-0.0006871927858923266,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,1,C4,0.002006333948758821,0.3974707837463155,0.005475423129382817,0.14918636255067047,0.010031669743794103,0.9936769593657887,1.0,0.005475423129382817,-0.0012646081268422316,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,1,C5,0.00030688764993407725,0.39987907106429715,0.01853598813287871,0.1869405973659161,0.0015344382496703668,0.9996976776607428,1.0,0.01853598813287871,-6.046446785146209e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,1,C6,0.0013152430827976479,0.1985759053870264,0.015213884789155918,0.06461580406320402,0.006576215413988229,0.992879526935132,1.0,0.015213884789155918,-0.0014240946129736032,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,1,C7,0.0009086318491128859,0.3979729528592303,0.031424083123303526,0.14569440347218593,0.00454315924556443,0.9949323821480756,1.0,0.031424083123303526,-0.0010135235703848666,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
23002,2,C1,7.927998398166153e-05,0.3999446818282133,0.012325865606954589,0.18035383801966232,2.673511491793691e-07,0.9999999701898765,0.000345312169071299,2.010387761278154e-05,-2.4481013629118475e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23002,2,C2,0.001896758732852247,0.3980379374106322,0.042447766672253695,0.12446462385804208,8.282806840774983e-05,0.9999574820640278,0.013041155772746116,0.0009787892864357994,-0.0008954785074327953,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,2,C3,0.00025490715959878326,0.3987700298562007,0.016255673934086667,0.1436773043623708,2.0023429653911612e-05,0.9999881941518755,0.006871927858923321,0.00020246021390174507,-0.0005863105019375259,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,2,C4,0.0007639990862011829,0.39750518615722036,0.005475423129382817,0.14918636255067047,0.00010063439784855411,0.9999600191571381,0.012646081268422593,6.924264587315765e-05,-0.0008524190895317085,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,2,C5,0.00033528633612279064,0.39987907106429715,0.01853598813287871,0.1869405973659161,2.354500742051552e-06,0.9999999086012031,0.0006046446785143988,1.120768658555149e-05,-3.855925465853782e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,2,C6,0.0011408356094693918,0.1988697332639112,0.015213884789155918,0.06461580406320402,4.324660917117655e-05,0.9999492988633325,0.013152430827976484,0.000200099567314177,-0.0011302667360888197,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,2,C7,0.0007665158377128758,0.39808662581903254,0.031424083123303526,0.14569440347218593,2.0640295930557558e-05,0.9999743192493069,0.00908631849112886,0.00028552922755004095,-0.0003755733316347376,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
23002,3,C1,7.926750626843738e-05,0.39994468420124374,0.012325865606954589,0.18035383801966232,1.3823661249012696e-10,0.9999999999948531,8.943037058154406e-08,5.206585190764557e-09,-2.447927840038e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23002,3,C2,0.0019726221488734555,0.39804215080308925,0.042447766672253695,0.12446462385804208,7.538176472186213e-07,0.9999997227584869,0.000127553807916772,1.2723139593662225e-05,-0.0008928139575916372,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,3,C3,0.00025204312067929785,0.3987705260624021,0.016255673934086667,0.1436773043623708,8.95999360182615e-08,0.9999999594355317,3.5417544373684846e-05,1.0434689881877457e-06,-0.0005859638740487172,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,3,C4,0.0007515363931488028,0.39750540368506243,0.005475423129382817,0.14918636255067047,1.0095310440822789e-06,0.999999747199506,0.0001199425285856616,6.567360952280943e-07,-0.0008498128014998163,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,3,C5,0.0003636414462811728,0.39987907106429715,0.01853598813287871,0.1869405973659161,3.6128359974812347e-09,0.9999999999723681,2.7419639044183556e-07,5.082501031150599e-09,-3.855263222324323e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,3,C6,0.0011396886683549758,0.19887182545739424,0.015213884789155918,0.06461580406320402,2.8439901783421645e-07,0.999999638983922,0.00012973982751352965,1.9738467883501087e-06,-0.0011281745426057754,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,3,C7,0.0007658701820417411,0.3980872018701529,0.031424083123303526,0.14569440347218593,9.377215128809844e-08,0.9999998698597693,6.192088779167267e-05,1.9458071250366693e-06,-0.00037234044361622587,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
23002,4,C1,7.926749981670969e-05,0.3999446842016534,0.012325865606954589,0.18035383801966232,7.147663696752927e-14,0.9999999999999991,2.058759683090871e-11,1.198596777385319e-12,-2.4479278100786317e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23002,4,C2,0.0020477951324980818,0.3980421782768429,0.042447766672253695,0.12446462385804208,6.860488916158886e-09,0.9999999981922251,1.108966052299707e-06,1.106162969000124e-07,-0.0008927965831868612,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,4,C3,0.0002520303048076727,0.3987705277673487,0.016255673934086667,0.1436773043623708,4.0093773510514686e-10,0.9999999998606219,1.622578732507852e-07,4.780429080364357e-09,-0.0005859626830478082,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,4,C4,0.0007514113715279831,0.3975054050604998,0.005475423129382817,0.14918636255067047,1.0127282030341072e-08,0.9999999984015322,1.0112019760229177e-06,5.536758662660901e-09,-0.0008497963218346838,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,4,C5,0.0003919530472739557,0.39987907106429715,0.01853598813287871,0.1869405973659161,5.5436737443213095e-12,0.9999999999999917,1.105275922323415e-10,2.0487500584920326e-12,-3.85526302211503e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23002,4,C6,0.0011396811258231401,0.1988718403548016,0.015213884789155918,0.06461580406320402,1.8702692048044914e-09,0.9999999974293947,1.1375960713368658e-06,1.7307255573140168e-08,-0.0011281596451984122,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23002,4,C7,0.0007658672487252093,0.3980872047893599,0.031424083123303526,0.14569440347218593,4.2602181610099085e-10,0.999999999340499,3.7508860515239375e-07,1.1786815495851144e-08,-0.00037232406057519096,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
23002,5,C1,7.926749981337377e-05,0.3999446842016535,0.012325865606954589,0.18035383801966232,3.6957717207898573e-17,1.0,4.443217323529055e-15,2.498001805406602e-16,-2.4479278100730806e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23002,5,C2,0.0021222839673463376,0.39804217845598766,0.042447766672253695,0.12446462385804208,6.243725965079299e-11,0.9999999999882123,9.038874396704872e-09,9.016027369135315e-10,-0.0008927964698957069,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
