seed,p,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
23004,4,C4,0.06581625390950376,0.05528743724879558,0.18118778850539313
23004,4,C5,0.028451287697537714,0.01818107246588807,0.13134771376421767
23004,4,C6,0.040725967709491016,0.026913492216436463,0.10403566957714956
23004,4,C7,0.06054488332368681,0.05234723538603078,0.16778976253571454
23004,5,C1,0.040890637481877594,0.030742849402290558,0.13544425982607455
23004,5,C2,0.052410265806375526,0.024210002570173417,0.1929364547026581
23004,5,C3,0.06193875184428061,0.06163139473957159,0.15360832495964105
23004,5,C4,0.0662144544138305,0.05539574410164067,0.18118778874687202
23004,5,C5,0.027852932561989178,0.018173894342876723,0.13121754659418883
23004,5,C6,0.041273927167728076,0.026405795454597016,0.10403566967005058
23004,5,C7,0.060056454434564636,0.050308943149337884,0.1667435202479084
23005,1,C1,0.052729409687008066,0.04004261896904639,0.1984887756148932
23005,1,C2,0.034887241689142985,0.02653495060510689,0.1817427371215813
23005,1,C3,0.059807622897659576,0.056736248697999724,0.17358364494656972
23005,1,C4,0.036887636951866073,0.030132902066047143,0.17704630127718013
23005,1,C5,0.031322190960695405,0.007613853598409763,0.1663558580679396
23005,1,C6,0.0404254264032751,0.03566341438963201,0.1322939555260274
23005,1,C7,0.04848188510433393,0.04088499133299801,0.16017693004573155
23005,2,C1,0.05712819267049853,0.04011933554100891,0.19856854309609417
23005,2,C2,0.031014789668633067,0.026657820222997862,0.1802399754176628
23005,2,C3,0.06134543795052381,0.05030997693478253,0.17421657778196717
23005,2,C4,0.037297230839969255,0.027285190030454192,0.17733955088806053
23005,2,C5,0.0378834339141491,0.007573738054108173,0.16644968700829463
23005,2,C6,0.040635146348070694,0.0326216546744221,0.13363637934076783
23005,2,C7,0.0476812413839879,0.039149862920281095,0.15996054854287836
23005,3,C1,0.05943684195869882,0.040343209601410863,0.19856870337848387
23005,3,C2,0.029185469677805453,0.025738684789495085,0.1787496394798273
23005,3,C3,0.06224403174796977,0.04599009660107225,0.17422119346997447
23005,3,C4,0.03755191191989627,0.025738162225741767,0.17734197949949326
23005,3,C5,0.041195899399879624,0.007488916367608192,0.16644979285211822
23005,3,C6,0.040847884667647605,0.030276422475140667,0.1336500012911526
23005,3,C7,0.04735344351431537,0.040170419185348416,0.15974562857867383
23005,4,C1,0.060873708596484256,0.04041752469727455,0.19856870370055052
23005,4,C2,0.02817078065407313,0.024380304863380442,0.17727162656413203
23005,4,C3,0.06281891703841327,0.04292828415477061,0.1742212271300638
23005,4,C4,0.03772007141827863,0.02485611050933067,0.1773419996125753
23005,4,C5,0.04320051186708122,0.0074400095836281085,0.1664497929715155
23005,4,C6,0.04101663867709103,0.02935175850306191,0.1336501395168979
23005,4,C7,0.047194499491681426,0.04114292781550702,0.15953216028122422
23005,5,C1,0.06185928548116911,0.04064961102937258,0.19856870370119767
23005,5,C2,0.02754438874123644,0.023820853906095493,0.1758058347761845
23005,5,C3,0.06321218107746271,0.040590982288131364,0.17422122737553133
23005,5,C4,0.03783627465903095,0.023891055904584558,0.17734199977914622
23005,5,C5,0.044547609782828415,0.0073253948239137,0.16644979297165016
23005,5,C6,0.04114302242544343,0.02858899021611206,0.13365014091951324
23005,5,C7,0.04710867488375199,0.04187753200160711,0.15932013384531477
