seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23002,1,h_D,C7,h_D->C7,6,0.03159552977790928,0.10278486372694243,0.3073947722647019
23002,1,h_E,C6,h_E->C6,6,0.02740561076729861,0.07781038028741213,0.3522102149573991
23002,1,h_I,C2,h_I->C2,6,0.04092554868252703,0.1505848319195954,0.2717773640316403
23002,1,h_I,C4,h_I->C4,6,0.045161411108563115,0.12209720978109911,0.36988077933279934
23002,1,h_I,C5,h_I->C5,5,0.09745419514124509,0.16714548792219358,0.5830501101293687
23002,1,h_T,C3,h_T->C3,5,0.032760107347992735,0.10783538681012392,0.30379737409736185
23002,1,h_T,C7,h_T->C7,6,0.04679225136374913,0.10278486372694243,0.45524457266005486
23002,2,h_D,C1,h_D->C1,6,0.07772468523152316,0.1182794472641076,0.6571275655128287
23002,2,h_D,C2,h_D->C2,6,0.05792370279237527,0.14422967310861737,0.40160739148560726
23002,2,h_D,C3,h_D->C3,5,0.048347007374914736,0.11370865136971811,0.4251831922383076
23002,2,h_D,C4,h_D->C4,6,0.04285526893478793,0.13336094747476906,0.3213479638975607
23002,2,h_D,C6,h_D->C6,6,0.03709161088829941,0.07882745358742632,0.4705417871540291
23002,2,h_D,C7,h_D->C7,6,0.031004821634542844,0.10292797201337825,0.30122833499732904
23002,2,h_E,C6,h_E->C6,6,0.027455946617008363,0.07882745358742632,0.34830437071278836
23002,2,h_I,C2,h_I->C2,6,0.0405487483348171,0.14422967310861737,0.28114012505595337
23002,2,h_I,C4,h_I->C4,6,0.04535150340813139,0.13336094747476906,0.340065845860697
23002,2,h_I,C5,h_I->C5,5,0.09682450591613871,0.14993161848528214,0.645791107263993
23002,2,h_T,C3,h_T->C3,5,0.032747795745050476,0.11370865136971811,0.28799739817759884
23002,2,h_T,C7,h_T->C7,6,0.04663893386783589,0.10292797201337825,0.45312205181037457
23002,3,h_D,C1,h_D->C1,6,0.0751374905529246,0.11665191210345863,0.6441170933026885
23002,3,h_D,C2,h_D->C2,6,0.056307786186142336,0.13934459622072431,0.40409020308577814
23002,3,h_D,C3,h_D->C3,5,0.04654649599084446,0.11671686862792964,0.3987983616903458
23002,3,h_D,C4,h_D->C4,6,0.04110877001038429,0.13975192668279238,0.29415530065212225
23002,3,h_D,C6,h_D->C6,6,0.03677697739069262,0.07787890406843143,0.472232857281926
23002,3,h_D,C7,h_D->C7,6,0.029542594493570315,0.1006888137090072,0.2934049315414087
23002,3,h_E,C6,h_E->C6,6,0.027064834751028444,0.07787890406843143,0.34752459699354926
