seed,p,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
23004,1,C6,6,0.0,1.15268688325577e-16,1.6901048028003487e-16,1.3280276938302873e-11,False,False,False
23004,1,C7,6,0.0,1.4217791915866693e-16,1.923283153461263e-16,3.058354181511433e-11,False,False,False
23004,2,C1,6,0.0014010694318823402,0.10647242964697613,0.23307462562379866,0.0563440542002973,True,True,True
23004,2,C2,6,0.0019530193505342686,0.07004815656959262,0.18904634597777456,0.0557760408754006,True,True,True
23004,2,C3,5,0.0028826652617485182,0.13389635644389153,0.3472734672295759,0.06823388629179987,True,True,True
23004,2,C4,6,0.002680535021042818,0.07461318536121864,0.17355269203363133,0.06346302960690982,True,True,True
23004,2,C5,5,0.0012868165975790102,0.0461621285939339,0.14447065958470193,0.05425327713569653,True,True,True
23004,2,C6,6,0.0024600876260704174,0.08252292020021815,0.20379394096657547,0.06084194594604986,True,True,True
23004,2,C7,6,0.003947276193970839,0.09959113549355215,0.22887565308164382,0.08533906907744618,True,True,True
23004,3,C1,6,0.0032988348684556135,0.14245623980066394,0.31187552933915225,0.0851430064553374,True,True,True
23004,3,C2,6,0.004653366010061388,0.10588099689165383,0.2746897520414473,0.0854864738076458,True,True,True
23004,3,C3,5,0.006714032911334766,0.22668072904460607,0.47079104072701916,0.10390053310005248,True,True,True
23004,3,C4,6,0.005999716533839572,0.12230616444310233,0.24755187007722265,0.09111388984745618,True,True,True
23004,3,C5,5,0.002638252657555684,0.07072461013033463,0.17917843503019962,0.0646560981798371,True,True,True
23004,3,C6,6,0.005567513478730968,0.11790105906256482,0.28700034090380805,0.08908082331517098,True,True,True
23004,3,C7,6,0.00958132939239087,0.14959868396666007,0.31933095582896,0.12328233012839637,True,True,True
23004,4,C1,6,0.004748899305631049,0.17178025399809432,0.35340494078328477,0.10726608902867564,True,True,True
23004,4,C2,6,0.006673830067136177,0.1428658108520302,0.32341967624913553,0.10573770783701497,True,True,True
23004,4,C3,5,0.009697956190076407,0.2375478823964385,0.5202311361617935,0.13048797834241666,True,True,True
23004,4,C4,6,0.008204590058109917,0.12701776077713478,0.28809309139864736,0.10747616702846176,True,True,True
23004,4,C5,5,0.0034230937896159164,0.0884955113007,0.19421207134095286,0.06941771845252502,True,True,True
23004,4,C6,6,0.007767911458218868,0.15833202484738942,0.32951587174738367,0.10698192257540809,True,True,True
23004,4,C7,6,0.013599442674865458,0.17654788716163555,0.3651013023009724,0.14462843293337158,True,True,True
23004,5,C1,6,0.005780436369148156,0.20707425358736747,0.38039460227070415,0.12519997892503593,True,True,True
23004,5,C2,6,0.008060339149400852,0.17182589161217904,0.3555597363464367,0.12052196884234895,True,True,True
23004,5,C3,5,0.01190406673334321,0.2215428048999744,0.5415825290249591,0.150557429644382,True,True,True
23004,5,C4,6,0.009548795510516017,0.1270056590267893,0.31433203220305583,0.1183656944032393,True,True,True
23004,5,C5,5,0.0038202550415243897,0.09688634928092615,0.20308717786094313,0.07277828534377932,True,True,True
23004,5,C6,6,0.00923402304429266,0.16923141354169757,0.3552829574154266,0.11940454547381026,True,True,True
23004,5,C7,6,0.016092082510061223,0.2084865875283689,0.39276608256641543,0.15838866442527727,True,True,True
23005,1,C1,6,0.0,8.170668228159612e-16,1.7268162095994537e-15,2.2110301276575875e-10,False,False,False
23005,1,C2,6,0.0,1.3211187504541324e-16,1.6972256477030688e-16,2.973070734715842e-11,False,False,False
23005,1,C3,5,0.0,1.894215914501372e-16,2.498865163007014e-16,1.7794461909376336e-11,False,False,False
23005,1,C4,6,0.0,1.656428940815703e-16,2.252412417099194e-16,2.715845043819304e-11,False,False,False
23005,1,C5,5,0.0,3.630948759419717e-16,5.397328423916287e-16,6.165934422663808e-11,False,False,False
23005,1,C6,6,0.0,1.1784895819874705e-16,2.775640827040772e-16,1.753517337804013e-11,False,False,False
23005,1,C7,6,0.0,1.5499445072101331e-16,2.1525160215452606e-16,1.4261373245749518e-11,False,False,False
