ctx,policy,seed,n,time,co2,dist,p95,ins,bg_t,bg_co2,net_co2,stopped,dflt,wape,bias,demand,bg,restr,signal,mass,speed_ratio
D013,TECO05,8101,611,448.962356792144,1210.1942115892514,3578.2085924713588,660.5,0.3322422258592471,236.98677248677248,578.6473175174464,958157.3493026274,161146,0.5582372718539865,0.2536873039591081,0.0767310138757612,1200,200,C,Balanced,0.0010849997724039,0.35
D013,TECO05,8102,654,493.57339449541286,1348.0384469999526,3591.531727828746,709.35,0.6146788990825688,238.9198966408269,584.2797541070702,1107733.4091774053,171684,0.6123104173585742,0.2173515022394604,-0.045361311037371,1200,200,C,Balanced,0.0010588740344427,0.35
D013,TECO05,8103,597,430.3149078726968,1160.067154768134,3578.4331825795634,589.5999999999998,0.4304857621440536,237.13784461152883,579.487036640758,923775.4190162384,134656,0.6087328767123288,0.1935283102768577,0.0455929078256245,1200,200,C,Balanced,0.0011683742625303,0.35
D013,TECO10,8101,611,472.9067103109657,1293.6134700233315,3578.1966284779046,662.5,0.3306055646481178,236.98677248677248,578.5610294080593,1009093.899300502,175130,0.3268052384957347,0.2362999867045495,0.0062900521301748,1200,200,C,Balanced,0.001033932516374,0.35
D013,TECO10,8102,654,505.2400611620795,1392.6267081339415,3515.4187003058105,812.7,0.6146788990825688,238.77777777777777,583.9838383188488,1136779.6125489925,184514,0.3744276153575202,0.247836948003312,0.0194332267739036,1200,200,C,Balanced,0.0009986646741179,0.35
D013,TECO10,8103,597,492.6247906197655,1343.8537215978297,3635.1280234505866,760.1999999999999,0.4304857621440536,237.2255639097744,579.7824113816667,1033613.8539351894,163055,0.3391408114558472,0.2424222145418084,-0.0073421424729532,1200,200,C,Balanced,0.0010551180147305,0.35
D013,TECO15,8101,611,635.9083469721768,1752.846418757942,3641.733502454992,985.5,0.3306055646481178,236.98677248677248,578.5709196337067,1289688.9694826438,253476,0.2167556277558598,0.2350644423396312,-0.0504928307889803,1200,200,C,Balanced,0.0008486245633119,0.35
D013,TECO15,8102,654,527.3960244648318,1475.192245397526,3418.6092966360857,812.7,0.6146788990825688,238.77777777777777,583.9838383188488,1190777.4739193765,205378,0.2469715698393078,0.2279783133073038,-0.0395985437517761,1200,200,C,Balanced,0.000982620563468,0.35
D013,TECO15,8103,597,468.5778894472362,1281.4631863462196,3619.551658291457,676.1999999999999,0.4137353433835846,237.08521303258144,579.215657108623,996140.5694350336,152396,0.2164615935969418,0.1995539777174603,-0.0495008167256161,1200,200,C,Balanced,0.0010827864286526,0.35
D014,SP,8101,611,423.2945990180033,1193.5987409136178,3203.7200000000003,487,0.3322422258592471,246.98677248677248,607.6499770611385,958980.5220273308,146412,0,0.0918995404077296,0.0242097174787069,1200,200,C,Arterial,0.0012111445670263,0.35
D014,SP,8102,654,443.0978593272171,1263.3098647565082,3203.7200000000003,498,0.6146788990825688,249.01808785529715,613.1871982528231,1063508.097274599,157504,0,0.0944290244411994,-0.0207858151300768,1200,200,C,Arterial,0.0011785065732557,0.35
