seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
29002,0,h_D,C2,6,0.03762945848903561,0.39778162931384686,0.09459828135740389
29002,0,h_D,C3,5,0.026593944743857685,0.32432445029395396,0.08199796444403046
29002,0,h_D,C4,6,0.022097986870160763,0.16211473932823434,0.13631078186701315
29002,0,h_D,C6,6,0.019495803066515653,0.401318380723083,0.04857939232932068
29002,0,h_D,C7,6,0.022029945195567592,0.3103410046117014,0.07098625340477038
29002,0,h_E,C6,6,0.013531788258847067,0.2785499696421942,0.04857939232932068
29002,0,h_I,C2,6,0.026466056003079955,0.27977311662574694,0.09459828135740389
29002,0,h_I,C4,6,0.02399229355289003,0.1760117081282775,0.13631078186701315
29002,0,h_I,C5,5,0.051390445543227574,0.4136939959174144,0.12422332944148635
29002,0,h_T,C3,5,0.017584644084315232,0.21445220260441428,0.08199796444403046
29002,0,h_T,C7,6,0.03336538942241441,0.4700260659157732,0.07098625340477038
29002,1,h_D,C1,6,0.05619288844301784,0.48718254819095963,0.11534257261716378
29002,1,h_D,C2,6,0.03789055291070885,0.4183781975310104,0.09056531419155034
29002,1,h_D,C3,5,0.026552542781454327,0.343388226762304,0.07732514021073533
29002,1,h_D,C4,6,0.02153281249969989,0.16907736922901587,0.12735478791584784
29002,1,h_D,C6,6,0.01959025581578523,0.42576132016046125,0.046012295828038764
29002,1,h_D,C7,6,0.02184144239910403,0.27866290771293,0.07837943907958411
29002,1,h_E,C6,6,0.013574287090144127,0.2950143400924862,0.046012295828038764
29002,1,h_I,C2,6,0.026417513624400518,0.29169570999593075,0.09056531419155034
29002,1,h_I,C4,6,0.023484045049080596,0.18439860356419216,0.12735478791584784
29002,1,h_I,C5,5,0.051340685862566446,0.4401000293515685,0.11665685625554337
29002,1,h_T,C3,5,0.017545585952167382,0.22690661671124338,0.07732514021073533
29002,1,h_T,C7,6,0.03316671119820539,0.42315576109323466,0.07837943907958411
29002,2,h_D,C1,6,0.05588016417546086,0.5055009581204756,0.11054413107885244
29002,2,h_D,C2,6,0.0378239843650857,0.3824460699206218,0.09890017793241743
29002,2,h_D,C3,5,0.026792351265573718,0.34410424602168943,0.07786114694888377
29002,2,h_D,C4,6,0.021427002611420238,0.17561926686045412,0.12200826819457325
29002,2,h_D,C6,6,0.01968059872721003,0.46270642613900254,0.0425336619829763
29002,2,h_D,C7,6,0.021780103818202855,0.277835394668534,0.07839211358908874
29002,2,h_E,C6,6,0.0136213502741965,0.32024870746676054,0.0425336619829763
29002,2,h_I,C2,6,0.026616712953744553,0.2691270482006991,0.09890017793241743
29002,2,h_I,C4,6,0.022975221010355786,0.1883087216148961,0.12200826819457325
29002,2,h_I,C5,5,0.05171902890702297,0.3997900902576245,0.12936545994247997
29002,2,h_T,C3,5,0.017705237178217707,0.22739502141695764,0.07786114694888377
29002,2,h_T,C7,6,0.03296903416453821,0.4205657004852915,0.07839211358908874
29002,3,h_D,C1,6,0.056149270473424884,0.5173512717544051,0.1085321976352703
29002,3,h_D,C2,6,0.037484064658533205,0.3438366515879996,0.10901707099888945
29002,3,h_D,C3,5,0.027073650405554872,0.3555255626255915,0.07615106549655039
29002,3,h_D,C4,6,0.021611487333810103,0.1748768439222735,0.12358118347127053
29002,3,h_D,C6,6,0.019509108629674678,0.4323150530506533,0.04512706298699372
29002,3,h_D,C7,6,0.02197030991326933,0.30288163201525503,0.07253761070549132
29002,3,h_E,C6,6,0.013464207843353816,0.2983621568045773,0.04512706298699372
29002,3,h_I,C2,6,0.026706684569667356,0.24497708775990173,0.10901707099888945
29002,3,h_I,C4,6,0.023306059730737134,0.18858906409458853,0.12358118347127053
29002,3,h_I,C5,5,0.05158436141289058,0.4223209434388405,0.12214492843388568
29002,3,h_T,C3,5,0.018026229646760834,0.23671670946404152,0.07615106549655039
29002,3,h_T,C7,6,0.03310815402983512,0.4564274134117889,0.07253761070549132
29002,4,h_D,C1,6,0.05596325078644307,0.5066219269432587,0.11046353860677707
