seed,kappa,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21002,0.2,h_I,C2,h_I->C2,6,0.028156795973695185,0.09698709133958128,0.29031488195495386
21002,0.2,h_I,C4,h_I->C4,6,0.01952992658196887,0.11963569886637238,0.1632449742582242
21002,0.2,h_I,C5,h_I->C5,5,0.0686973176119237,0.14089303619285037,0.48758490460383846
21002,0.2,h_T,C3,h_T->C3,5,0.014097742982703186,0.08359826357360067,0.16863679196066994
21002,0.2,h_T,C7,h_T->C7,6,0.03480709985683578,0.08161899375086494,0.4264583310430785
21002,0.3,h_D,C1,h_D->C1,6,0.054617082739892825,0.08615793322490695,0.6339182092110577
21002,0.3,h_D,C2,h_D->C2,6,0.04145545159435567,0.10053612062182612,0.4123438554972794
21002,0.3,h_D,C3,h_D->C3,5,0.020847018719112986,0.08748877784912115,0.2382822029452331
21002,0.3,h_D,C4,h_D->C4,6,0.019504610886855768,0.11957509070753886,0.1631160032685883
21002,0.3,h_D,C6,h_D->C6,6,0.02076317813556202,0.04538520765870045,0.45748778525472233
21002,0.3,h_D,C7,h_D->C7,6,0.022516777687030677,0.08344102849271967,0.26985259042828597
21002,0.3,h_E,C6,h_E->C6,6,0.014001386480093678,0.04538520765870045,0.308501099853425
21002,0.3,h_I,C2,h_I->C2,6,0.02810642657024771,0.10053612062182612,0.2795654576298254
21002,0.3,h_I,C4,h_I->C4,6,0.019563871657083308,0.11957509070753886,0.16361159787676624
21002,0.3,h_I,C5,h_I->C5,5,0.0684215022457515,0.13745327891437928,0.49778006596608004
21002,0.3,h_T,C3,h_T->C3,5,0.014127231659918442,0.08748877784912115,0.16147478576189617
21002,0.3,h_T,C7,h_T->C7,6,0.03471223477995803,0.08344102849271967,0.41600919124062213
21002,0.4,h_D,C1,h_D->C1,6,0.0544744766513839,0.08702655054989816,0.6259523824229258
21002,0.4,h_D,C2,h_D->C2,6,0.0414225556846932,0.10447247637083756,0.3964925224636428
21002,0.4,h_D,C3,h_D->C3,5,0.02075794657038311,0.0909720471466788,0.22817939379429214
21002,0.4,h_D,C4,h_D->C4,6,0.019455213587902052,0.11894361837744306,0.16356668691548776
21002,0.4,h_D,C6,h_D->C6,6,0.020725182391769303,0.04570226080980885,0.4534826510566776
21002,0.4,h_D,C7,h_D->C7,6,0.02252007193008078,0.08583680653915843,0.2623591538152674
21002,0.4,h_E,C6,h_E->C6,6,0.014006786790929572,0.04570226080980885,0.306479078768394
21002,0.4,h_I,C2,h_I->C2,6,0.02781708688746681,0.10447247637083756,0.2662623482615695
21002,0.4,h_I,C4,h_I->C4,6,0.019618690049811448,0.11894361837744306,0.16494108988168357
21002,0.4,h_I,C5,h_I->C5,5,0.06840849562507556,0.13646067533835637,0.5013055626095527
21002,0.4,h_T,C3,h_T->C3,5,0.014116759631117571,0.0909720471466788,0.15517689305376667
21002,0.4,h_T,C7,h_T->C7,6,0.0346845540976812,0.08583680653915843,0.4040755416670139
21002,0.5,h_D,C1,h_D->C1,6,0.0542131171557638,0.08800682571571491,0.6160103686760655
21002,0.5,h_D,C2,h_D->C2,6,0.04143379730549028,0.1083599611104419,0.38237183624381366
21002,0.5,h_D,C3,h_D->C3,5,0.020752696461333313,0.09463205553326437,0.21929880254814052
21002,0.5,h_D,C4,h_D->C4,6,0.0194019406071778,0.11816514973437442,0.16419342463177664
21002,0.5,h_D,C6,h_D->C6,6,0.020651465032204705,0.04619647298126463,0.447035535378059
21002,0.5,h_D,C7,h_D->C7,6,0.022562196062194652,0.08866218996624826,0.2544737059904465
21002,0.5,h_E,C6,h_E->C6,6,0.013922570591665311,0.04619647298126463,0.30137734967365043
21002,0.5,h_I,C2,h_I->C2,6,0.027699937378655018,0.1083599611104419,0.255628897376285
21002,0.5,h_I,C4,h_I->C4,6,0.019624063265642054,0.11816514973437442,0.16607318917285907
21002,0.5,h_I,C5,h_I->C5,5,0.06813700481218485,0.13464511674222512,0.5060488375685059
21002,0.5,h_T,C3,h_T->C3,5,0.014099973172378415,0.09463205553326437,0.14899785376925578
21002,0.5,h_T,C7,h_T->C7,6,0.034641439191998996,0.08866218996624826,0.39071264994464394
21002,0.6,h_D,C1,h_D->C1,6,0.05399349589604701,0.08947489780029941,0.6034485338664771
21002,0.6,h_D,C2,h_D->C2,6,0.04106831016084856,0.11169476260316519,0.3676834007552391
21002,0.6,h_D,C3,h_D->C3,5,0.02068934090951599,0.09836835109232547,0.21032517755520058
21002,0.6,h_D,C4,h_D->C4,6,0.01945413868873587,0.11839394711649451,0.16431700405620842
21002,0.6,h_D,C6,h_D->C6,6,0.020528019328767654,0.0467885476989177,0.4387402545688282
21002,0.6,h_D,C7,h_D->C7,6,0.02238285871359359,0.09073190343544064,0.24669226441692793
21002,0.6,h_E,C6,h_E->C6,6,0.013733491846852608,0.0467885476989177,0.2935225075788528
21002,0.6,h_I,C2,h_I->C2,6,0.027487199253033598,0.11169476260316519,0.24609210505639748
21002,0.6,h_I,C4,h_I->C4,6,0.01950571736958296,0.11839394711649451,0.16475265707819867
21002,0.6,h_I,C5,h_I->C5,5,0.06802628409979619,0.13279777858855485,0.5122546839435367
21002,0.6,h_T,C3,h_T->C3,5,0.01405592368400952,0.09836835109232547,0.1428907115732191
21002,0.6,h_T,C7,h_T->C7,6,0.034578351631665644,0.09073190343544064,0.3811046646441007
21002,0.7,h_D,C1,h_D->C1,6,0.05390062875346227,0.09103244183547116,0.5921035145941518
21002,0.7,h_D,C2,h_D->C2,6,0.040790422033680634,0.11616092690898489,0.35115441240659034
21002,0.7,h_D,C3,h_D->C3,5,0.020591232735999016,0.10059140757857625,0.20470170595544773
21002,0.7,h_D,C4,h_D->C4,6,0.0193260504607637,0.11707264521351794,0.1650774220173434
21002,0.7,h_D,C6,h_D->C6,6,0.02043985897700836,0.04712142771266268,0.43376994222698184
21002,0.7,h_D,C7,h_D->C7,6,0.02217354526038505,0.09283459451537161,0.2388500254231701
21002,0.7,h_E,C6,h_E->C6,6,0.013673379146442713,0.04712142771266268,0.29017327805791776
21002,0.7,h_I,C2,h_I->C2,6,0.0272180124645615,0.11616092690898489,0.23431297587400632
21002,0.7,h_I,C4,h_I->C4,6,0.019465563944815828,0.11707264521351794,0.16626910504284004
