seed,kappa,criterion,min_active_g,max_active_g,max_active_theta,max_g_minus_max_theta,structural_zero_max_abs,lower_bound_ok,upper_bound_ok,structural_zero_ok,curvature_mean
21002,0.1,C2,0.0004957312168656331,0.291004164567715,0.2928222552156142,-0.0018180906478992287,0.0,True,True,True,5.551115123125783e-17
21002,0.1,C3,0.0008478303980531252,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.1,C4,0.00022448632534715488,0.3642351473472774,0.36681709869596135,-0.002581951348683942,0.0,True,True,True,5.551115123125783e-17
21002,0.1,C5,6.558838021334454e-05,0.3691183061244704,0.3692181014061877,-9.979528171732976e-05,0.0,True,True,True,0.0
21002,0.1,C6,0.0002549959935273063,0.14609553798058975,0.1466646246821684,-0.0005690867015786527,0.0,True,True,True,5.551115123125783e-17
21002,0.1,C7,0.0017601639974811224,0.38059568320168047,0.3819528129804527,-0.0013571297787722258,0.0,True,True,True,3.700743415417188e-17
21002,0.2,C1,0.00010379248921629764,0.3491051413137167,0.34921804574063176,-0.00011290442691502811,0.0,True,True,True,3.700743415417188e-17
21002,0.2,C2,0.0004642348429668809,0.29111939814881194,0.2928222552156142,-0.001702857066802288,0.0,True,True,True,5.551115123125783e-17
21002,0.2,C3,0.0007927874354631386,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.2,C4,0.0002288703410178533,0.3643986411586628,0.36681709869596135,-0.0024184575372985795,0.0,True,True,True,5.551115123125783e-17
21002,0.2,C5,6.558838021334454e-05,0.3691135551332621,0.3692181014061877,-0.0001045462729256097,0.0,True,True,True,0.0
21002,0.2,C6,0.00026937702770270824,0.14615846722290043,0.1466646246821684,-0.0005061574592679641,0.0,True,True,True,5.551115123125783e-17
21002,0.2,C7,0.0015690129193214391,0.3807458145160557,0.3819528129804527,-0.00120699846439698,0.0,True,True,True,3.700743415417188e-17
21002,0.3,C1,9.672460754020765e-05,0.34910749266413416,0.34921804574063176,-0.00011055307649759927,0.0,True,True,True,3.700743415417188e-17
21002,0.3,C2,0.0004327384690681286,0.291234631729909,0.2928222552156142,-0.0015876234857052363,0.0,True,True,True,5.551115123125783e-17
