seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
21003,0,h_I,C5,5,0.05773989147785318,0.45219362643954153,0.12768842394358876
21003,0,h_T,C3,5,0.024234530235337892,0.22197973540526514,0.10917451627226821
21003,0,h_T,C7,6,0.03164965176680659,0.3252916745427942,0.09729622441449108
21003,1,h_D,C1,6,0.040461932992873706,0.37162449894425187,0.10887854032080876
21003,1,h_D,C2,6,0.04002376784065077,0.32640069458489496,0.12262157680523691
21003,1,h_D,C3,5,0.031802838186345626,0.3080366962688145,0.10324366730087312
21003,1,h_D,C4,6,0.031186214913961917,0.23003589042678746,0.1355710835203665
21003,1,h_D,C6,6,0.024020275395529714,0.4148011092413716,0.057907934332783045
21003,1,h_D,C7,6,0.01857434433623363,0.1583575861325398,0.11729368191132435
21003,1,h_E,C6,6,0.017483476870087195,0.30191850341806215,0.057907934332783045
21003,1,h_I,C2,6,0.027668869836895066,0.22564438133605652,0.12262157680523691
21003,1,h_I,C4,6,0.03239677388934588,0.23896522066403655,0.1355710835203665
21003,1,h_I,C5,5,0.05783512559659456,0.44328715743628666,0.13046875964247592
21003,1,h_T,C3,5,0.022655485856163435,0.21943705069988736,0.10324366730087312
21003,1,h_T,C7,6,0.030442852696726128,0.2595438407286234,0.11729368191132435
21003,2,h_D,C1,6,0.043055035377360704,0.4523587967613535,0.09517895017220693
21003,2,h_D,C2,6,0.039679567531551746,0.2777061264246303,0.14288329912679515
21003,2,h_D,C3,5,0.036611958409886,0.3401413740787981,0.10763747429639134
21003,2,h_D,C4,6,0.03315021125945817,0.2536084123053638,0.1307141626646406
21003,2,h_D,C6,6,0.02576321891111756,0.41254691337650373,0.06244918596007689
21003,2,h_D,C7,6,0.015688412562523804,0.13351730796545985,0.11750096524151601
21003,2,h_E,C6,6,0.01861930640195432,0.2981513067849963,0.06244918596007689
21003,2,h_I,C2,6,0.026894561133149614,0.18822746463248344,0.14288329912679515
21003,2,h_I,C4,6,0.0348464075307403,0.26658478943766356,0.1307141626646406
21003,2,h_I,C5,5,0.051084717612423725,0.4211462743236154,0.12129922719617431
21003,2,h_T,C3,5,0.025844621101124413,0.24010802250634722,0.10763747429639134
21003,2,h_T,C7,6,0.0251613977439686,0.21413779616224218,0.11750096524151601
21003,3,h_D,C1,6,0.042865277140694866,0.48095355735420625,0.08912560575707534
21003,3,h_D,C2,6,0.0352535751470797,0.2500534895688212,0.14098413586476644
21003,3,h_D,C3,5,0.033997314878108906,0.3730333533994974,0.09113746684556298
21003,3,h_D,C4,6,0.03218390160640195,0.21035048513173912,0.1530013186612588
21003,3,h_D,C6,6,0.024323890333065642,0.3588498803710444,0.06778291331059193
21003,3,h_D,C7,6,0.017379789132582184,0.14855473253132703,0.11699249721828014
21003,3,h_E,C6,6,0.01741480567260041,0.256920288931019,0.06778291331059193
21003,3,h_I,C2,6,0.02417605321036377,0.1714806638484647,0.14098413586476644
21003,3,h_I,C4,6,0.03338328686928661,0.21818953693450321,0.1530013186612588
21003,3,h_I,C5,5,0.05597432409172194,0.458348690890837,0.12212170603667058
21003,3,h_T,C3,5,0.024039303568355846,0.26376971403898997,0.09113746684556298
21003,3,h_T,C7,6,0.028094994560149314,0.24014355815903818,0.11699249721828014
21003,4,h_D,C1,6,0.03918333242455362,0.4212591381427362,0.09301479511372827
21003,4,h_D,C2,6,0.0337961896516812,0.2750818580255034,0.12285866430447334
21003,4,h_D,C3,5,0.030085951645643885,0.30328947076843477,0.09919880030491263
21003,4,h_D,C4,6,0.03342225103503271,0.21980791369047648,0.15205208253728572
21003,4,h_D,C6,6,0.021385372770708906,0.33461400541118685,0.06391057285272654
21003,4,h_D,C7,6,0.017985159756197404,0.1939925776435027,0.09271055611753597
21003,4,h_E,C6,6,0.015098024878915579,0.23623673212053256,0.06391057285272654
21003,4,h_I,C2,6,0.02341215576337402,0.1905616986455469,0.12285866430447334
21003,4,h_I,C4,6,0.03410881175471543,0.22432321337083333,0.15205208253728572
21003,4,h_I,C5,5,0.058173558760704305,0.5860495097809498,0.09926389799705153
21003,4,h_T,C3,5,0.021888723992385895,0.22065512813546842,0.09919880030491263
21003,4,h_T,C7,6,0.028697641300651597,0.30954016998840944,0.09271055611753597
21003,5,h_D,C1,6,0.03204927799086979,0.3265891665134139,0.09813331633958791
21003,5,h_D,C2,6,0.03453546630090039,0.29124543174513945,0.11857856823254875
21003,5,h_D,C3,5,0.03184196128945317,0.30444728648147673,0.1045894074378162
21003,5,h_D,C4,6,0.0301372708921469,0.2146313965811234,0.14041408373607353
21003,5,h_D,C6,6,0.02091592608729206,0.3905745548755044,0.05355168642147831
21003,5,h_D,C7,6,0.020479434242755792,0.20391897001050896,0.100429274635393
21003,5,h_E,C6,6,0.014536053536653284,0.27143969700554155,0.05355168642147831
21003,5,h_I,C2,6,0.024433943788550724,0.2060569979258509,0.11857856823254875
21003,5,h_I,C4,6,0.031173990372596775,0.22201469783451577,0.14041408373607353
21003,5,h_I,C5,5,0.06572516266505721,0.5909879941594355,0.11121234832857708
21003,5,h_T,C3,5,0.023200297195602217,0.22182262777589756,0.1045894074378162
21003,5,h_T,C7,6,0.033428256964449884,0.3328537130779628,0.100429274635393
21004,0,h_D,C1,6,0.048140782127454824,0.5171145000554146,0.0930950149759461
21004,0,h_D,C2,6,0.04077647403998967,0.4016349583418476,0.1015262073001164
21004,0,h_D,C3,5,0.0310521950022023,0.29723792314853836,0.10446915613250124
21004,0,h_D,C4,6,0.027466024852049575,0.33192457573414286,0.08274778928607185
21004,0,h_D,C6,6,0.022125487937887135,0.4038026784538764,0.05479282114274181
21004,0,h_D,C7,6,0.022151815802750767,0.2469036329348744,0.08971846845342624
21004,0,h_E,C6,6,0.01498482206285312,0.2734814844364811,0.05479282114274181
21004,0,h_I,C2,6,0.028216631126308393,0.27792460564020416,0.1015262073001164
