seed,rotation,criterion,alternative_a,alternative_b,contexts_used,lrv
21001,4,C5,A3,A5,1000,0.03372569031987851
21001,4,C5,A3,A6,1000,0.09977618646308316
21001,4,C5,A4,A5,1000,0.06689347305663591
21001,4,C5,A4,A6,1000,0.06662308840676885
21001,4,C5,A5,A6,1000,0.13345649304014426
21001,4,C6,A1,A2,1000,0.11099612290089614
21001,4,C6,A1,A3,1000,0.32433857598179794
21001,4,C6,A1,A4,1000,0.1911742074001238
21001,4,C6,A1,A5,1000,0.14075926823158963
21001,4,C6,A1,A6,1000,0.0857837910151091
21001,4,C6,A2,A3,1000,0.4332597394133419
21001,4,C6,A2,A4,1000,0.30131067136409967
21001,4,C6,A2,A5,1000,0.2512235702848121
21001,4,C6,A2,A6,1000,0.1965236687449744
21001,4,C6,A3,A4,1000,0.1342960082859078
21001,4,C6,A3,A5,1000,0.1847153505943736
21001,4,C6,A3,A6,1000,0.23944591769882248
21001,4,C6,A4,A5,1000,0.0505957019872321
21001,4,C6,A4,A6,1000,0.10562004588549354
21001,4,C6,A5,A6,1000,0.05506366357354052
21001,4,C7,A1,A2,1000,0.030694174332576915
21001,4,C7,A1,A3,1000,0.40818733220328884
21001,4,C7,A1,A4,1000,0.1866761873279377
21001,4,C7,A1,A5,1000,0.15456853260059572
21001,4,C7,A1,A6,1000,0.09427460633420741
21001,4,C7,A2,A3,1000,0.3781371004460679
21001,4,C7,A2,A4,1000,0.15610456121027497
21001,4,C7,A2,A5,1000,0.12395529033910939
21001,4,C7,A2,A6,1000,0.06360602902224809
21001,4,C7,A3,A4,1000,0.22386516126384423
21001,4,C7,A3,A5,1000,0.25583565727066593
21001,4,C7,A3,A6,1000,0.31556950251030547
21001,4,C7,A4,A5,1000,0.032233747848411175
21001,4,C7,A4,A6,1000,0.0926233763708574
21001,4,C7,A5,A6,1000,0.060414065894471326
21001,5,C1,A1,A2,1000,0.4818073526289172
21001,5,C1,A1,A3,1000,0.23376459187738896
